Action Category,Additional Action Category,Sub actions,Action name,Article,Citation/source,Date,Cost Estimates,Itemized costs,Study Region,Area surveyed,Currency,Context,Continent,Biome,Taxon,Peru,Notes
Species Management,Research & Monitoring,"methods: 1. fecal DNA sampling (cost largest to smallest: field labor, lab consumables, lab labor, field consumables and field equipment) 2. camera sampling (field equipment, field labor, field consumables) 3. sampling from trapping (field equipment, field labor, field consumables). ",,A comparison of cost and quality of three methods for estimating density for wild pig (Sus scrofa),Davis et al. 2020,2020,"Cost of fecal sampling (513 samples): $17,700 ($ 9,000 of which field costs); removal sampling (32 samples): $15,000; camera sampling (2636 pictures): $10,500. ","Fecal sampling: $6,384 (1 transect, 2 sampling)-$11,355 (4 transects, 6 sampling). Camera sampling: $3,510 (6 cameras, 4 days)-$9,525 (20 cameras, 12 days). Removal sampling: $2,947 (1 trap, 4 days)-$11,795 (10 traps, 20 days). Equipment-cameras: $159 each, corral traps 2 types ($550 and $1,860 per trap), ",US,"South Carolina, 3 habitats (bottomland hardwood, mixed habitat, upland pine), 1 sq km grids",USD,Cost effectiveness of three population estimation methods applied to wild pigs,,,,N,cost effectiveness figures available (figure 3)
Species Management,Research & Monitoring,"approximate annual research costs related to exploration, safety screeninga and pre-release preliminaries in lab, cost of release, redistribution, monitoring, impact-evaluation. ",,An economic assessment of the contribution of biological control to the management of invasive alien plants and to the protection of ecosystem services in South Africa,"de Lange & van Wilgen, 2010",2010,"Annual cost of ecosystem services: 152 B ZAR (US$ 19.7 B). Total cost of biological control research on 4 plant groups: ZAR 102 M; cost by plant group: fire adapted trees: ZAR 10 M; invasive succulents: ZAR 13,626,030; perennial invasive Australian trees: ZAR 27,941,017; subtropical shrubs: ZAR 50 M . Estimated impact of alien plant invasion (ZAR/ha) on- fynbos shrubland: 1,021; savanna and thicket: 386; grassland: 110; succulent karoo: 33 and Nama karoo: 33. ",Cost of water provision by ecosystems: 1.89/cubic m. Cost of livestock invasion: 2471 ZAR/large stock unit. ,South Africa,,2008 South African rands (ZAR),Costs and benefits of managing invasive groups of weeds using biological control,,,,N,estimated annual value of ecosystem services (5 ecosystems) and annual benefits of biological control available (table 3 and 4)
Species Management,Legal Policy & Frameworks,"Cost of providing a habitat for a species: 1. opportunity costs (forgone benefits of using the area for economic purposes) 2. captive breeding, artificial feeding, translocation, predator control",,Does proactive biodiversity conservation save costs?,"Drechsler, et al. 2011",2011,"Cost of measures to protect species (2001-2010)- voluntary agreements for 24ha of agricultural land:€214,453-€263,647; Monitoring, mapping, breeding programme, fencing: €769,101-€924,8111; rejection/modification/delay of developmetnt (parking lot reduced by 7 ha; 450 ha land appointed to reserve; 6.4 ha building delayed by 1 yr; residential area reduced by 10 ha); €19,587,867-€38,294,573. Estimated amount saved using a proactive approach (1980-2010): €17.2-36.4 M.",,Germany,Manheim,€,"Cost of a proactive approach to species conservation before it is under substantial risk of extinction, demonstrated with the common hamster. Compare a 10 yr delay and repari program with proactive approach",,,,N,
Species Management,Conservation Designation & Planning,actions include translocation,,Cost effectiveness of endangered species management: The kokako (Callaeas cinerea) in New Zealand,"Fairburn, et al. 2004",2004,"PV total cost per site (discount rate=6%): Mataraua (440 ha, 5 yrs): $287,078 ($57,416 annua amorisedl; $155 annual/ha; $42,976 PV per addional pair). Mapara (1400 ha, 12 yrs): $1,780,312 ($148,359 annual amortised; $152 annual/ha; $57,522 PV per addional pair). Otamatuna (1300 ha, 3 yrs): $401,280 ($166,962 annual amortised; $115 annual/ha; $63,094 PV per addional pair). ",,New Zealand,"upper North Island, 6 sites",$,Cost effectiveness analysis of the kokako recovery programme (1989-1998) with the goal to achieve additional number of male/female pairs,,,,N,
Species Management,Land & Water Management,"1. Operating costs: non-salary costs (administration, travel, infrastructure, maintenanve). Excluding initial clearing and first two follow up clearings of alien vegetation. 2. Salary 3. overhead costs (research and regional offices). Excluding cost of tourism development/management 4. Aquisition costs",,"Estimating the costs of conserving a biodiversity hotspot: a case-study of the Cape Floristic Region, South Africa","Frazee, et al 2003",2003,Estimated cost of developing a representative reserve system: $45.6 M/yr (20 yrs). Annual cost of maintaining: $24.4 M/yr. ,"Cost of aquiring all remaining extant habitat in CFR: $948 M. Cost of aquiring extant land in conservation plan: $622 M. Cost  of aquiring extant land within expanded PA: $224 M. Cost of annual management for known samople of existing PA system - empirically derived: $10,764,331; long term management cost model: $ 9,937,457; average cost of $18/ha (from other literature): $22,133,743; average cost of $71/ha (average of all PAs from study): $87,514,362. Totla cost of controlling invasive plants in expanded PA: $76.1 M (initial clearing costs: $68.9 M -$3.9 of which to clear invasives from existing PA- . Cost of 2 follow-up treatments: 7.2 M). Cost of establishing contractual reserves for non-statutory reserved in expanded PA: $240,000. Cost of clearing alien plants in non-statutory reserves: $5.6 M (initial clearing) and $36,700 (2 follow up). Cost of clearing alien plants off reserve: $28.8 M, $385,000 (follow up). Cost of salary and operating costs for 91 district officers for off-reserve:  $1.5 M. Cost of negotiating legal agreements: $0.80 ha. Table 8 for itemized costs (go back and add)",South Africa,"Cape Floristic Region (87,892 sq km). using data from 58 PA units to produce model. ",$,Estimating costs of conserving biodiversity hotspot Cape Floristic Region using relationship between PA attributes and management costs to estimating long-term costs of regional conservation.,,,,,"Cost of aquiring land under three scenarios divided by habitat class available (table 6, 7)"
Species Management,Conservation Designation & Planning,,,Prioritizing conservation actions for Pacific salmon in Canada,"Frid, et al. 2020",2020,,,Canada,Central Coast of British Columbia,CAD,PTM framework to prioritize strategies to maximize the number of Pacific salmon in Canada,,,,N,
Species Management,Conservation Designation & Planning,Species control involving manual labor with machetes and backpack sprayers,,Eradications and People: Lessons from the Plant Eradication Program in Galapagos,"Gardener, et al. 2010",2010,"Total cost of 21 pilot eradications: $417,579. 1. $9,785 (2.3%) spent on successful eradication projects, 2. $139,200 (33.3%) spent on projocts in progress, 3. $268,594 (64.3%) spent on abandoned projects (incomplete knowledge or lack of permission). Eradication cost estimate per species ranges from $ 100-$8,000,000 and cost to date $200-128,325.",,Galapagos Islands,"Santiago, Floreana, Isabela, Santa Cruz, Species with net distribution < 1 ha, gross distribution < 100 ha",2008 USD,reiview of 30 plant eradication projects covering 23 potentially invasive species in Galapagos Islands,,,,N,Table 2 available cost info per species/ha per island
Species Management,Conservation Designation & Planning,,,The Costs and Effectiveness of Funding the Conservation of Australian Threatened Birds,"Garnett, et al. 2003",2003,"$28 M spent on conservation of 78 bird taxa 1993-2000. Total per funded taxon: $294,000. Yearly cost per funded taxon: $37,000. Most funds come from conservation agencies($18 M), 25% from voluntary conservation sector ($7M), 14% from business sector/other government agencies ($4M). Average annual cost of improving status of threarened taxa: $40,000 for maintained taxa, $59,000 for improved taxa. ","Salaries of project officers, project running costs (travel, accomidations, consumabes, minor contracts), captial items (vehicles). Does not include routine costs of PA management, administrative costs, opportunity costs of landowners, unsalaried time and volunteer travel. ",Australia,,AUD,review of conservation funding for threatened birds in Australia 1993-2000,,,,N,"Table 1 info avaiable: costs broken down by threat level, number of taxa, funds per taxon/individual. Table 3 info available: funds per taxon broken down by threat category. Table 5 info available: funds per taxon by regional category"
Species Management,Research & Monitoring,"Costs of rearing captive-bred individuals: aquiring young falcons, hack-site operational costs, personnel costs, falcon food, hack-box construction.",,Predicting reintroduction costs for wildlife populations under anthropogenic stress,"Hilbers, et al. 2019",2019,"Reintroduction costs of 1,735 captive-bred young to reach an MVP of 238 adults : $3,023,000. Cost per year (390 individuals):$663,000. Willingness to pay values (WTP) estimates for peregrine falcons: $2.3-6.9 per person=$31-92 M counting the 18+ California population",,"California, US",,USD,Quantifying costs of reintroduction as a function of exposure to an environmental stressor (DDE) and size of the wildlife population to maintain using peregrine falcons in California 1970-1994,,,,N,
Species Management,,,invasive plant management,Predicting the invadedness of protected areas,"Iacona, et al. 2014",2014,$50 M for invasive plant management under the Upland Invasive Exotic Plant Management Program. Great variation over 10 yr period ($1-1600). More funding allocated to PAs larger in size and with higher surrounding household density,,"Florida, US","365 PAs investigated for incvadedness, 46 PAs investigated for funding ",USD,Predicting invadedness and funding allocation for invasive species management (invasive plant cover) 1999-2009,,,plant,N,
Species Management,Land/Water management,,removal of invasive vegetation,Cost‐effectiveness analysis of sandhill crane habitat management,"Kessler, et al. 2013",,"Median cost effecitveness values of creating 1 additonal ha of roosting habitat: $1,595. Can go up to $12,010 in some Platte River areas without cost effectiveness",,"central Platte River, Nebraska, US",7 land parcels ranging from 31-177 ha,2009 USD,cost effectiveness analysis to improve efficiency of efforts to enhance sandhill crane roosting habitat,,,,N,
