"","Title","Date Published","Citation","Authors","Contact","purpose of study","cost data description","how costs were measured","Data Source","Conservation Action Category","Conservation Action Category (Additional)...11","Conservation Action Category (Additional)...12","time frame of cost data","spatial extent of study","cost predictors","management cost estimate","Date of cost calculation","Currency","Units of area","Land purchase costs","time since implementation","includes capital costs","includes consumables costs","includes labor costs","overhead included","predicts costs across categories","inflation correction","Notes"
"44","Financial Costs of Meeting Global Biodiversity Conservation Targets: Current Spending and Unmet Needs",2012,"McCarthy, et al 2012","Donal P. McCarthy, Paul F. Donald, Jörn P. W. Scharlemann, Graeme M. Buchanan, Andrew Balmford , Jonathan M. H. Green,  Leon A. Bennun, Neil D. Burgess, Lincoln D. C. Fishpool , Stephen T. Garnett, David L. Leonard, Richard F. Maloney , Paul Morling, H. Martin Schaefer, Andy Symes,  David A. Wiedenfeld, Stuart H. M. Butchart","Donal.McCarthy@rspb.org.uk","estimate the costs of preserving all threatened bird species","current and needed costs for conservation activities (acquisition and management) for set of Red Listed bird species","expert elicitation of total spent on 211 species for each year in previous 10 year period and total needed to downlist within 10 years","Elicited","Species Management",NA,NA,"10 years","Worldwide","human population density, proportion human dominated land use, road density, terrain ruggedness, are, GDP, PPP, human development index rank","0.19/ha to $24,487/ha. $7.18 billion total","2012","US$","km2","N","N","N","N","N","N","N","Y",NA
"45","Integrating costs into conservation planning across Africa.",2004,"Moore, et al. 2004","Joslin Moore, Andrew Balmford, Tom Allnutt, Neil Burgess","apb12@cam.ac.uk","estimate management costs of protecting 10% of Africa's ecoregions","predicted from site level features using Balmford's model","N/A","Modeled","Land / Water Management",NA,NA,"N/A","Africa","GNP, PPP, Project area, Area*PPP","total =$630 million/year, avg = $212/km/yr","2000","US$","km^2","N","N","N","N","N","N","N","Y",NA
"46","Cost-benefit based prioritisation of orangutan conservation actions in Indonesian Borneo",2019,"Morgans, et al. 2019","Courtney L. Morgans.    Truly Santika.           Erik Meijaard          Marc Ancrenaz          Kerrie A.Wilson","c.morgans@uq.edu.au","Identify orangutan population distribution and decline across differing land uses, quantify the cost of commonly employed conservation strategies and assess opportunities for future conservation spending to maximise returns on investment.","cost data of major conservation
initiatives, including orangutan rescue and rehabilitation, habitat protection, habitat restoration and community education, was collated from non-government agency annual reports and primary literature","NGO database to find an average cost with both lower and upper limits.  Use of a cost-effectiveness resource allocator tool to help prioritize and maximize returns from conservation investment.","Accounts Based","Species Management","Conservation Designation & Planning",NA,"10 year period","Indonesia, Borneo",NA,NA,"2016?","USD$","km^2","Y","N/A","Y","N","Y","N","N/A","Y",NA
"47","Modeling Opportunity Costs of Conservation in Transitional Landscapes",2006,"Naidoo & Adamowicz, 2006","Robin Naidoo, Wiktor L. Adamowicz","robin.naidoo@wwfus.org","Presenting methods for estimating opportunity costs of land preservation in landscapes or ecoregions that are a changing mix of agriculture and natural habitat.",NA,"integrate probabilities of habitat conversion with region-wide estimates of economic benefits from agricultural land uses and estimate land values with a discount rate to convert annual values into net present values","Modeled","Land / Water Management","Conservation Designation & Planning",NA,"N/A","Paraguay",NA,NA,"2004?","US $","ha","N","N","N","N","N","N","N","N",NA
"48","National Wildlife Refuge Funding",NA,"National Wildlife Refuge Funding",NA,NA,"Make available the annual total land acquisition and recovery data",NA,"Expenditure reports from U.S. Fish and Wildlife Services","Accounts Based","Research & Monitoring",NA,NA,"2019","United States",NA,NA,"2019","USD$","acre","Y","Y","Y","N","N","N","N","N",NA
"49","High-resolution land value maps reveal underestimation of conservation costs in the United States",2020,"Nolte et al. 2020","Christoph Nolte",NA,"To fix previous proxies that led to an underestimation of policy budgets necessary for optimal environmental goals by creating a database of estimated land values in the contiguous US.",NA,NA,"Modeled","Research & Monitoring",NA,NA,NA,"United States",NA,NA,NA,"USD $","ha","Y","N","Y","N","N","N","N","Y",NA
"50","Land trust investments in land protection may increase philanthropic giving to conservation",2021,"Pinnschmidt et al. 2021","Arne Pinnschmidt, Marjanke Hoogstra-Klein, Rachel Fovargue, Diane Le Bouille, Maria Fisher, Jamal Harris, Paul R. Armsworth","arne.pinnschmidt@ife.uni-freiburg.de","Challenging the assumptions that the overall amount of conservation funding is fixed and the funds can be freely allocated across different candidate regions for protection.","Uses conservation investment and donation data from TNC as a case study.","Used land acquired and philanthropic donations as two endogenous response variables, as well as expenditures for land acquisition and philanthropic donations.","Accounts Based","Economic & Moral Incentives",NA,NA,"2009-2014","United States",NA,"N","N/A","USD$","ha","Y","N","Y","N","N","N","N","N/A",NA
"51","Marine reserve establishment and on-going management costs: A case study from New Zealand",2015,"Rojas-Nazar et al, 2015","U.A.Rojas-Nazar, R. Cullen, J.P.A Gardner, J.J. Bell",NA,"Fill a void of information related to establishing an MPA and the costs required","First, the pre-establishment and establishment costs for the Taputeranga Marine Reserve (TMR) in central New Zealand were assessed. Then data was collected on the on-going management costs of five MRs in central New Zealand (including TMR) Finally, the displacement cost to local rock lobster fishers as a result of the establishment of the TMR were estimated.","Divided costs in direct and indirect costs","Mix","Research & Monitoring",NA,NA,NA,"New Zealand",NA,NA,"2012?","NZ $",NA,"N","N/A","Y","Y","Y","N/A","Y","Y",NA
"52","Headstarting as a cost-effective conservation strategy for an endangered mammal",2021,"Ross et al. 2021","Alexandra Ross, Jasmin Lawes, Andrew Elphinstone, Sally Stutsel, Mike Letnic",NA,"Report findings of first terrrestrial mammal headstarting program and its cost-effectiveness","The total upfront cost of the headstart exclosure","Directly","Accounts Based","Species Management","Research & Monitoring",NA,"2015-2018","Australia",NA,NA,"N/A","AUD$","ha","N","Y","Y","Y","Y","N","Y","N",NA
"53","Costs are not necessarily correlated with threats in conservation landscapes",2019,"Sacre, et al. 2019","Edmond Sacre, Robert L. Pressey, Michael Bode","edmond.sacre@my.jcu.edu.au","Illustrates why spatial prioritization needs to include independent measures of costs and threats. The assumption that costs and threats are positively correlated is proven false.","Datasets of land sales and habitat clearance.","Isolated von Thunen's classic ""isolated state"" model, where land quality is homogenous and distributed radially around a central marketplace.  ???","Accounts Based","Land / Water Management",NA,NA,"Primary dataset for empirical analysis contained property sales between 2000-2008. Estimating threats to biodiversity, used amount of anthropogenic vegetation clearing date from 2009 to 2018.","Queensland, Australia",NA,NA,NA,"AUD$","ha","N",NA,"N","N","N","N","N","Y",NA
"54","Cost Effectiveness of Livestock Guardian Dogs for Predator Control",2020,"Saitone & Bruno 2020","Tina Saitone, Ellen Bruno","saitone@primal.ucdavis.edu","Benefits and costs to using livestock guardian dogs as a form of nonlethal predation control","Maintenance and upkeep of LGDs","Direct costs","Accounts Based","Species Management","Economic & Moral Incentives",NA,"2013-2017","California",NA,"Y?",NA,"USD$","ha","N","Y","Y","Y","Y","N","Y","Y",NA
"55","Bridging the research implementation gap – Identifying cost-effective protection measures for Montagu’s harrier nests in Spanish farmlands",2014,"Santangeli, et al. 2014","Andrea Santangeli, Enrico Di Minin, Beatriz Arroyo","andrea.santangeli@helsinki.fi","Evaluating the effectiveness of protection measures for Montagu's harrier nests in Spanish farmlands.  Estimating the proportion of nests that could be protected with the most effective measures in each region and how much it would cost to local administrations.",NA,"Data on direct costs for each protection measure were obtained and fieldwork costs were estimated.","Mix","Species Management","Research & Monitoring",NA,"1985-2011","Spain",NA,NA,NA,"euro","km2","N",NA,"N","N","Y","N","N",NA,NA
"56","Economies of scale in forestland acquisition costs for nature conservation",2017,"Seong-Hoon Cho et al. 2017","Seong-Hoon Cho, Taeyoung Kim, Eric Larson, Paul R. Armsworth","shcho4982@gmail.com","Examining how the costs of protected area acquisition are affected by the size of the protected areas under a fee simple or permanent easement transaction compared to unprotected forest parcels.","Collected data from TNCs Conservation Lands database including purchase price of property and fees (lawyers)",NA,"Accounts Based","Land / Water Management",NA,NA,"2000-2009","United States",NA,"N","N/A","USD$","ha","Y","N/A","Y","N","Y","N","N","Y",NA
"57","Effects of Protected Area Size on Conservation Return on Investment",2019,"Seong-Hoon Cho et al. 2019","Seong-Hoon Cho, Kristen Thiel, Paul R. Armsworth, Bijay R. Sharma","shcho4982@gmail.com","Examines how protected area sizes influences conservation benefit and land acquiston for creating a protected area.  How does the PA size and ROI change prioritzation decision-making for selected PAs compared with decisions based only on conservation benefit and decisions based only on acquisition cost.","Acquisition costs of the TNC","Acquisition cost is a function of conservation benefit and compared effective mesh size of PA before and after acquisition of the protected parcel.","Accounts Based","Land / Water Management",NA,NA,"2000-2009","United States",NA,"N","N/A","USD$","ha","Y","N/A","Y","N","N","N","N","Y",NA
"58","The Opportunity Cost of the Conservation Reserve Program: A Kansas Land Example",2020,"Taylor et al. 2020","Mykel Taylor, Nathan Hendricks, Gabriel Sampson, Dillon Garr",NA,"Examining how the CRP has affected farmland values in Kansas and the factors impacting opportunity costs","KSFMR data includes parcel characteristics, sale date, type of sale, sale price, and overall quality of the parcel","Used a hedonic regression model of land values","Accounts Based","Land / Water Management","Legal & Policy Frameworks",NA,"1998-2014","Kansas",NA,"N/A","N/A","USD$","acres","Y","N","Y","N","N","N","N","N",NA
"59","Prioritizing management strategies to achieve multiple outcomes in a globally significant Indonesian protected area",2020,"Utami et al. 2020","Ni Wayan Febriana Utami, I Gede Putu Wirawan, Jennifer Firn, Agus Ngurah Krisna Kepakisan, I Putu Gede Kusdyana, Sam Nicol, Josie Carwardiine","josie.carwardine@csiro.au","Proposing a descision prioritization approach to justify increased investmens in protected area management to improve conservation outcomes","Estimated with the help of participants and experts","calculated the average benefit of each management strategy, measured as the gain in improvement relative to the baseline scenario where no strategies were implemented","Elicited","Land / Water Management","Legal & Policy Frameworks",NA,"15 years","Indonesia",NA,"Y","2018?","Both Rp and USD$","ha","N","N/A","N","N","N","N","N","N",NA
"60","Use of surrogate species to cost-effectively prioritize conservation actions",2019,"Ward, et al. 2019","Michelle Ward, Jonathan R. Rhodes, James E.M. Watson, James Lefevre, Scott Atkinson, Hugh P. Possingham",NA,"Testing a problem-based method for prioritizing conservation actions for umbrella species that maximizes the total number of flora and fauna benefitting from management while considering threats, actions, and costs.","Using budget of 550 million a year AU$ already established by the Australian government to put towards umbrella species","calculated cost-effectiveness of species management using cost estimates.","Modeled","Land / Water Management","Species Management",NA,NA,"Australia",NA,NA,"2018","AU$","km^2","N","N/A","N","N","N","N","N","Y",NA
"61","Spending to save: What will it cost to halt Australia’s extinction crisis?",2019,"Wintle, et al. 2019","Brendan A. Wintle PhD, Sarah M. Legge PhD, Hugh P. Possingham PhD, David A. Keith PhD, Stephen T. Garnett PhD, John C. Z. Woinarski PhD, David B. Lindenmayer PhD, Natasha C.R. Cadenhead MSc, Rachel A. Morgain PhD, Sarah A. Bekessy PhD, Matthew Cantele MA, James E.M. Watson PhD, Martine Maron PhD","b.wintle@unimelb.edu.au","Focuses on the funding short-comings that have contributed to Australia's failure to meet the UNs Strategic Plan for Biodiversity Aichi Target 12. A target to bring endangered species from the brink of extinction and have sustainable populations.","Estimated expenditures to recover threatened species including direct, indirect, and unrelated costs","Reference to annual reports, grey literature, and personal communication","Mix","Species Management","Legal & Policy Frameworks",NA,"2015-2020 (??)","Australia",NA,NA,NA,"Gives amount for both USD $ and AU$",NA,"N","N","N","N","N","N","N","Y",NA
"62","Minimum costs to conserve 80% of the Brazilian Amazon",2022,"Cardosa da Silva et al. 2022","Jose Maria Cardosa da Silva, Luis Claudio Fernandes Barbosa, Julie Topf, Ima Celia G. Vieira, Fabio R. Scarano","jcsilva@miami.edu","Determining actions and areas to protect within the Amazon to avoid a catastrophic ecosystem tipping point.","Using average staff costs to estimate total management cost","Used median staff density per 100km^2 and their average salary to estimate labor then multiplied by two to get the total annual recurrent management costs","Accounts Based","Land / Water Management","Legal & Policy Frameworks",NA,"2021","Brazil","N","Y","2021","USD $","km^2","N","N","N","N","Y","N","N","Y",NA
"63","Costs of elephant crop depredation exceed the benefits of trophy hunting in a community-based conservation area of Namibia",2020,"Drake et al. 2020","Michael D. Drake, Jonathan Salerno, Ryan E. Langendorf, Lin Cassidy, Andrea E. Gaughan, Forrest R. Stevens, Narcisa G. Pricope, Joel Hartter",NA,"Evaluating elephant trophy hunting with crop depredation and whether sustainable hunting has benefits to the community","income and hunting reports from conservancy records and self-reported costs of land and crop damages.","Analyzed crop losts using local market value of each crop from 2019","Mix","Species Management","Economic & Moral Incentives",NA,NA,"Namibia","Y","N","2019","N$","km^2","N","N","N","N","N","N","N","Y",NA
"64","Spatiotemporal variation in costs of managing protected areas",2022,"Bouille et al. 2022","Diane Le Bouille, Joseph Fargione, Paul R. Armsworth","dlebouille@utk.edu","Evaluating management costs for protected areas for consideration of future acquisitions","Surveyed land managers","overhead and infrastructure costs were omitted","Elicited","Land / Water Management","Research & Monitoring",NA,NA,"Appalachian Mountains, USA","Y","Y",NA,"USD $","hectares","Y",NA,"Y","N","Y","N","N","Y",NA
"65","Delivering on Biden's 2030 conservation commitment",2021,"Simmons et al. 2021","B. Alexander Simmons, Christoph Nolte, Jennifer McGowan","blakeas@bu.edu","An illustration of what the 30% target could address to meet the executive order.","No direct costs",NA,"Modeled","Legal & Policy Frameworks",NA,NA,NA,"US","Y","N",NA,"USD $","km^2","Y","N","Y","N","N","N","N","N/A",NA
"66","Spatial cost-benefit analysis of blue restoration and factors driving net benefits globally",2021,"Stewart-Sinclair et al. 2021","Phoebe J. Stewart-Sinclair, Carissa J.Klein, Ian J. Bateman, Catherine E. Lovelock","p.stewartsinclair@uq.edu.au","Evaluating what factors increase the net benefit of blue restoration",NA,NA,NA,"Land / Water Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Modeling genetic benefits and financial costs of integrating biobanking into the conservation breeding of managed marsupials",2022,"Howell et al. 2022","Lachlan Howell, Stephen Johnston, Justine O'Brien, Richard Frankham, John Rodger, Shelby Ryan, Chad Beranek, John Clulow, Donald Hudson, Ryan Witt","lachlan.howell@newcastle.edu.au","Evaluating cost-effectiveness of biobanking in managed wildlife breeding rather than continued upkeep costs of maintaining small populations.","Used detailed captive holding costs and biobanking cost data","modelled","Mix","Species Management","Institutional Development",NA,"2018-2118","AUS","Y","Y","2018","A$",NA,"N","N","Y","N","Y","N","N","N",NA
"68","Easement or public land? An economic analysis of different ownership modes for nature conservation measures in California",2019,"Santos & Schöttker, 2019","Maria João Santos, Oliver Shöttker","maria.j.santos@geo.uzh.ch","Assesment of the economic viability of choosing easements","Opportunity costs of implementation, easement costs, costs of ""in-fee"" land management","modelled","Accounts Based","Land / Water Management",NA,NA,">1969","California","Y","Y",NA,"USD $","km^2","Y","N/A","Y","N","N","N","N","Y",NA
"69","Translocation of captive-bred dibblers Parantechinus apicalis (Marsupialia: Dasyuridae) to Escape Island, Western Australia",2003,"Moro, 2013","Dorian Moro","d.moro@ecu.edu.au","Translocation success of a marsupial species to an island and the financial aspects of the undertaking","Salaries, feed, and overall husbandry costs","Referenced cost records","Accounts Based","Species Management","Land / Water Management",NA,"1998-2001","AUS","N","N",NA,"AUS$","km","N","Y","Y","Y","Y","Y","N","N",NA
"70","Evaluation of Restoration Techniques for the Succulent Karoo, South Africa",2003,"Beukes & Cowling, 2003","P. C. Neukes, R. M. Cowling",NA,"Recovery of semi-arid landscapes in Karoo using various methods","Approximation of labor, mechanical soil treatment, and machinery costs.","Estimated","Other","Land / Water Management",NA,NA,NA,"Karoo","N","N",NA,"USD $","hectares","N",NA,"N/A","N/A","N/A","N/A","N","N","Hardly any financial information apart from a rough estimate of costs without providing a source of estimation"
"71","Video Surveillance to Assess Highway Underpass Use by Elk in Arizona",2007,"Dodd et al. 2003","Norris Dodd, Jeffrey Gagnon, Amanda Manzo, Raymond Schweinsburg",NA,"Testing variations in two bridged wildlife underpasses","Direct cost of surveillance equipment, underpass construction, and power distribution","Listed","Elicited","Land / Water Management","Miscellaneous",NA,"2002-2005","Arizona","N","N",NA,"USD $","km","N",NA,"Y","N","N","N","N","N","Hardly any financial information apart from a rough estimate of costs without providing a source of estimation"
"72","the effect of scent-marking, forest clearing, and supplemental feeding on moose–train collisions",2005,"Andreassen et al. 2005","Harry Andreassen, Hege Gundersen, Torstein Storaas",NA,"How scent-marking, supplemental feeding, and forest clearing have an impact on train collisions with moose","average cost of each conservation action compares","approximated costs","Accounts Based","Land / Water Management","Species Management",NA,"1994-2001","Norway","N","N",NA,"USD $","km","N",NA,"N","Y","Y","N","N","N",NA
"73","Treatment of foot rot in free-ranging mouflon (Ovis gmelini musimon) populations—does it make sense?",2008,"Volmer et al. 2008","Klaus Volmer, Werner Hecht, Reinhard Weib, Dieter Grauheding",NA,"Disease control and treatment measures for free-ranging and captive bovine","Materials and vaccine costs","Listed","Accounts Based","Species Management",NA,NA,"1994-2005","Germany","N","N",NA,"euro",NA,"N",NA,"Y","Y","N","N","N","N",NA
"74","Evaluation of a compensation scheme to bring about pastoralist tolerance of lions",2009,"Maclennan et al. 2009","Maclennan S.D., Groom R.J., Macdonald D.W., Frank L.G.",NA,"Study on how compensation for livestock predation saves lions from being killed by farmers","Conservation of lions cost","Average market price","Accounts Based","Species Management",NA,NA,NA,"Kenya","N","N","2007","USD $","km2","N",NA,"Y","N","Y","N","N","N",NA
"75","A pass for antelope in sheep-tight fences",1970,"Mapston et al. 1970","Mapston, R.D., Zobell, R.S., Winter, K.B., Dooley, W.D.",NA,"Cost effective means to allow pronghorn antelope through a fence while containing livestock","Cost of building the fence and installation","Estimated costs","Accounts Based","Species Management",NA,NA,"1965","Wyoming","N","N","1965","USD $","ft","N","N","Y","N","Y","N","N","N",NA
"76","Herpetofaunal Responses to Restoration Treatments of Longleaf Pine Sandhills in Florida",2001,"Litt et al. 2001","Andrea R. Litt, Louis Provencher, George W. Tanner, Richard Franz",NA,"Herpetofaunal response to restoration","Cost of different restoration treatments","Listed","Elicited","Species Management",NA,NA,NA,"Florida",NA,NA,"1995","USD $","ha","N",NA,"N","Y","Y","N","N","N",NA
"77","Economics of captive breeding applied to the conservation of selected amphibian and reptile species from Madagascar",2006,"Mattioli et al. 2006","Fabio Mattioli, Claudia Gili, Franco Andreone",NA,"Cost of breeding","Labor and breeding costs","Mean salary, average weekly cost of food, actual kilowatt hours cost","Accounts Based","Species Management",NA,NA,NA,"Italy","N","N","2006","Euro",NA,"N","N","Y","Y","Y","N","N","N",NA
"78","Effectiveness of amphibian mitigation measures along a new highway",2007,"Merrow, 2007","Jed Merrow",NA,"Examing a nature corridor bridge and its effectiveness","Cost of bridge","Bridge build","Accounts Based","Species Management",NA,NA,NA,"New Hampshire","N","N",NA,"USD $","ha","N","N","Y","N/A","N/A","N","N",NA,NA
